course_id,keyword,id
560,TEACHING
561,SOCIETY
561,SOCIETY
561,SOCIETY
562,DOCKER
562,KUBERNETES
562,HYPERVISORS
565,CAI
565,TEACHING
565,SOCIETY
566,CAI
566,TEACHING
566,SOCIETY
570,MULTICORE
570,MULTIPROCESSORS
570,PARALLELISM
572,STORAGE ARCHITECTURE
572,MEMORY-HIERARCHY
572,INTERCONNECTION
577,KERAS
577,PYTORCH
577,TENSORFLOW
578,AZUREML
578,CLOUD MACHINE LEARNING ENGINE
578,AMAZON MACHINE LEARNING
579,CLUSTERING
579,CLASSIFICATION
579,EXTRACTION
580,AZUREML
580,CLOUD MACHINE LEARNING ENGINE
580,AMAZON MACHINE LEARNING
581,KERAS
581,PYTORCH
581,TENSORFLOW
582,LOCOMOTION
582,SENSORS
582,KALMAN FILTERS
583,RANDOMNESS
583,MARKOV
583,FACTOR GRAPHS
584,REGRESSION
584,SVM
584,UNSUPERVISED LEARNING
585,THEANO
585,SPACY
585,TENSORFLOW
586,PIPE AND FILTER
586,CLIENT SERVER
586,EVENT BASED 
587,TQM
587,METRICS
587,PROJECT PLANNING
588,PROCESS IMPROVEMENT
588,MEASUREMENTS
588,ESTIMATING SIZE
589,UNIT TESTING
589,CODE-BASED TESTING
589,MODEL-BASED TESTING
527,.NET
527,J2EE
527,ORACLE
541,REACT
541,ANGULARJS
541,VUE
542,LOAD BALANCING
542,NETWORK TECHNOLOGY
542,PROTOCOLS
543,SYNCHRONIZATION
543,STREAMING
543,COMPRESSION
544,OAUTH
544,ACCESS CONTROL
544,OWASP
545,WIRELESS
545,NETWORK TECHNOLOGY
545,SECURITY
550,SOCKETS
550,MULTITHREADING
550,MESSAGE-PASSING
551,BASH
551,POWERSHELL
551,COMMAND LINE
554,SPARK
554,HADOOP
554,MAPREDUCE
570,R
570,PYTHON
570,SQL
571,D3JS
571,PANDAS
571,NUMPY
572,R
572,PYTHON
572,SQL 
581,KERAS
581,TORCH
581,TENSORFLOW
584,SPRING
584,ASP.NET
584,SYMFONY
585,JAVA
585,C#
585,.NET
586,UML
586,MODEL-DRIVEN TESTS
586,EXECUTABLE MODELS
587,ASSURANCE
587,CONTROL
587,MEASUREMENTS
595,DATA SCIENCE
595,SOFTWARE ENGINEERING
595,CLOUD COMPUTING
